,KID1,KID3,KID5,KID7,KID9,KID11,CRAC_set,CRAC_out,time,temp1,temp2,temp3,CPU_mean_KID1,FAN_mean_KID1,CPU_mean_KID3,FAN_mean_KID3,CPU_mean_KID5,FAN_mean_KID5,CPU_mean_KID7,FAN_mean_KID7,CPU_mean_KID9,FAN_mean_KID9,CPU_mean_KID11,FAN_mean_KID11
1,7,11,3,10,9,23,80,65,100s,36.2,34.9,35.1,51.34705882352941,47.4834523809524,50.38235294117647,44.502261904761895,40.142857142857146,39.76373493975901,44.40243902439025,39.927222222222206,51.598765432098766,51.623750000000015,49.135802469135804,39.15162500000004
2,11,22,10,19,21,4,80,65,,36.4,34.9,35.3,51.46739130434783,52.370659340659245,50.11666666666667,47.9851685393258,46.483333333333334,41.78988764044944,43.853932584269664,38.99681818181814,50.77272727272727,51.12781609195403,41.205555555555556,37.56146067415734
3,20,24,4,14,0,1,80,65,,35.5,34.9,34.9,0.0,0.0,47.75,39.36438356164387,41.118556701030926,39.18510416666663,43.31182795698925,39.37217391304344,40.4367816091954,21.995581395348825,40.0,27.66666666666669
4,22,3,16,17,19,5,80,65,,35.4,34.7,34.8,49.75247524752475,62.16429999999993,41.63861386138614,45.79429999999996,47.398989898989896,42.23255102040816,44.3125,38.99105263157891,50.60112359550562,48.26863636363632,41.918539325842694,35.68587570621476
5,4,22,14,11,8,7,80,65,,35.7,34.8,35.2,49.06435643564357,35.30380000000005,49.41237113402062,45.77510416666659,46.54736842105263,39.83478723404254,43.70879120879121,40.01944444444442,50.08988764044944,54.943295454545435,43.82142857142857,40.84409638554219
6,24,10,9,7,12,1,80,65,,35.1,34.3,35,49.2265625,60.558253968253936,47.77777777777778,45.35000000000005,46.8,42.0508988764045,41.43333333333333,39.139999999999965,50.416666666666664,47.176292134831485,0.0,0.0
7,16,22,8,22,19,23,80,65,,35.7,34.9,34.9,50.723958333333336,55.91189473684204,50.04945054945055,47.97711111111111,47.59444444444444,42.60022471910111,44.57831325301205,39.726097560975596,51.542682926829265,52.485308641975315,49.60493827160494,40.522750000000016
8,7,0,15,18,23,10,80,65,,35.6,34.1,34.9,49.39523809523809,50.41009615384613,40.0,36.003775510204065,47.135416666666664,40.40199999999997,44.3021978021978,39.048888888888854,51.720238095238095,52.85518072289158,48.18674698795181,39.691463414634164
9,21,17,20,13,4,18,80,65,,35.2,34.7,35.1,51.75301204819277,65.37939024390236,47.582352941176474,48.11785714285718,49.129411764705885,43.12523809523808,43.793103448275865,39.92162790697672,51.48255813953488,47.74776470588235,49.8448275862069,37.74627906976745
10,1,4,10,23,23,23,80,65,,35.4,35.1,35.2,42.142857142857146,32.15103092783505,47.54040404040404,28.25785714285719,47.176767676767675,42.88061224489796,44.577319587628864,39.89510416666665,51.55952380952381,55.49024096385539,50.4125,42.05784810126583
11,2,5,18,8,19,0,80,65,,35.4,34.8,35.5,43.135,32.64373737373736,46.44845360824742,33.28395833333336,47.21910112359551,41.3325568181818,44.174418604651166,39.27941176470584,51.94805194805195,52.49763157894734,40.0,36.64947368421057
12,3,3,22,22,14,11,80,65,,34.9,34.5,35.5,45.71666666666667,32.96370786516853,45.40659340659341,24.664722222222245,47.69101123595506,43.79727272727271,44.40449438202247,39.8694318181818,50.18681318681319,49.42688888888889,47.09782608695652,36.09285714285716
13,12,19,3,12,7,22,80,65,,35.8,34.1,35.1,49.54950495049505,50.67139999999992,49.20792079207921,42.32559999999999,40.51470588235294,39.04287128712867,43.07339449541284,39.30296296296295,44.13054187192118,32.789702970296894,50.15425531914894,39.00602150537634
14,13,2,3,23,18,21,80,65,,35.8,34.1,35.3,50.138297872340424,50.01763440860205,42.30978260869565,33.00164835164837,40.08988764044944,39.09420454545451,44.12352941176471,39.74190476190475,51.648809523809526,54.18614457831322,48.675,39.33924050632911
15,23,18,17,17,21,20,80,65,,35.1,34.5,35.2,49.955,56.4721212121211,46.62135922330097,42.99549019607845,46.35981308411215,40.55830188679246,43.24311926605505,39.11444444444442,48.61926605504587,42.52564814814811,47.765765765765764,36.16036363636367
16,9,5,4,11,10,13,80,65,,35.9,34.2,35,51.1578947368421,48.82999999999998,44.86813186813187,35.65922222222224,42.50555555555555,39.48808988764042,44.26136363636363,40.079310344827576,50.61176470588235,51.37392857142853,49.46913580246913,37.08850000000001
17,7,9,19,9,11,6,80,65,,35.8,34.9,35,50.16489361702128,51.67311827956988,49.41208791208791,45.21177777777778,48.37078651685393,43.23613636363637,44.833333333333336,40.8796511627907,51.26470588235294,47.6278571428571,47.75,35.352962962962984
18,3,2,2,11,2,18,80,65,,35.2,34.9,35.6,48.257894736842104,33.01085106382974,46.05494505494506,19.753666666666653,40.09444444444444,38.80999999999995,45.04597701149425,39.683837209302304,47.95294117647059,27.898452380952406,51.920731707317074,41.56728395061726
19,3,0,13,18,20,4,80,65,,35.4,34.7,35.3,47.473684210526315,33.61893617021277,40.0,20.382637362637343,47.108695652173914,41.468296703296694,44.75,39.61912087912085,50.43478260869565,47.85428571428568,43.64673913043478,35.9612087912088
20,8,22,11,3,10,5,80,65,,35.9,34.7,34.8,50.91836734693877,53.68432989690713,50.10989010989011,46.68866666666665,48.47191011235955,43.4277272727273,40.132183908045974,39.00372093023252,50.779761904761905,52.18843373493975,43.858024691358025,38.381625000000035
21,17,10,22,21,11,3,80,65,,35.8,34.7,34.9,50.64736842105263,54.06776595744668,49.20967741935484,39.70554347826085,49.42045454545455,46.450344827586186,44.151162790697676,40.32635294117646,51.029411764705884,49.937976190476235,42.61585365853659,34.94567901234568
22,4,6,13,8,18,24,80,65,,35.9,35.2,34.9,49.17,37.44560606060609,47.23711340206186,37.383281250000046,47.351063829787236,40.78204301075266,43.57608695652174,39.33269230769228,50.94886363636363,48.067586206896564,50.1271186440678,40.55310344827586
23,2,11,18,9,20,20,80,65,,35,35.1,35,46.03225806451613,33.044347826086984,49.522222222222226,46.46741573033707,49.55681818181818,45.531264367816064,44.2906976744186,44.28729411764706,51.75,49.32395061728392,52.27922077922078,39.76447368421054
24,17,8,6,12,3,19,80,65,,35.7,35,35.4,50.47894736842105,57.17478723404247,48.755319148936174,42.73526881720427,44.922222222222224,39.19651685393256,44.022222222222226,39.19157303370784,46.89080459770115,35.03000000000001,51.98170731707317,42.39518518518518
25,21,7,14,10,12,17,80,65,,35.1,34.7,35.1,50.66129032258065,58.98413043478252,47.494565217391305,42.86978021978025,48.30898876404494,42.020056818181786,45.172413793103445,39.976395348837194,50.92941176470588,49.9747619047619,51.56707317073171,39.8966666666667
26,23,4,14,5,24,17,80,65,,35.4,34.7,34.5,50.207070707070706,61.132857142857056,42.15841584158416,44.56619999999994,48.51075268817204,42.26391304347825,40.5,40.12712765957444,49.55797101449275,45.39647058823532,49.795698924731184,38.043858695652204
27,14,11,14,6,17,13,80,65,,35.5,34.8,34.8,50.569148936170215,53.29623655913976,49.05494505494506,37.69527777777782,48.89204545454545,42.19183908045979,41.05232558139535,38.99447058823525,51.76219512195122,50.906543209876524,51.53125,39.41291139240508
28,16,12,4,12,17,15,80,65,,35.5,34.2,35,51.39673913043478,56.11417582417583,49.43333333333333,42.38595505617978,42.61494252873563,38.80999999999995,43.90588235294118,39.760714285714265,51.55487804878049,51.90358024691358,51.234177215189874,40.02371794871798
29,13,6,21,1,16,9,80,65,,35.3,34.4,34.9,50.601063829787236,52.67677419354836,46.903225806451616,40.116847826087,49.08426966292135,45.44999999999998,40.0,40.176511627906955,51.833333333333336,49.93963855421686,53.0,39.86512499999999
30,20,19,4,21,14,6,80,65,,35.2,34.4,34.7,50.305263157894736,59.15925531914888,48.94886363636363,46.203103448275854,43.189655172413794,40.805,44.079268292682926,39.39938271604936,51.390243902439025,50.3114814814815,47.11392405063291,36.27051282051283
31,1,17,5,5,9,21,80,65,,35.9,35.1,35.5,40.0,34.60400000000001,50.1505376344086,42.3666304347826,41.879120879120876,40.82555555555553,40.57954545454545,39.19298850574709,50.99418604651163,54.98305882352944,46.4,40.7444382022472
32,8,4,11,4,4,22,80,65,,35.8,35.4,35.5,49.95959595959596,58.48612244897949,45.13636363636363,42.47867346938771,46.755102040816325,42.12979381443302,40.0,38.91208333333329,48.40721649484536,33.075104166666684,50.63793103448276,43.67761627906977
33,2,7,13,6,8,11,80,65,,35.8,35.1,35.3,45.516129032258064,30.851195652173903,48.80107526881721,36.38402173913044,48.68333333333333,42.88488764044941,41.39887640449438,39.33056818181815,51.60227272727273,49.892643678160915,49.56818181818182,37.725862068965576
34,9,14,21,2,6,11,80,65,,35.7,34.8,36,51.79347826086956,53.15549450549445,49.747252747252745,45.91977777777778,50.0406976744186,46.39141176470588,40.0,40.40132530120481,50.5,41.551481481481524,52.45679012345679,39.3115
35,16,9,23,20,5,15,80,65,,35.1,34.9,35.8,50.79032258064516,56.9696739130434,49.51052631578948,42.852446808510635,49.54891304347826,47.798461538461545,43.81720430107527,40.424347826086944,49.36702127659574,37.678924731182825,50.134408602150536,40.30663043478262
36,0,2,20,5,16,6,80,65,,34.8,34.5,35.4,40.0,30.68670454545452,45.20786516853933,20.71613636363637,49.3433734939759,47.16060975609754,40.88095238095238,39.77289156626504,51.31325301204819,51.18878048780487,45.20238095238095,36.66180722891571
37,12,3,15,18,5,23,80,65,,36.1,35.4,35.1,51.229885057471265,55.40906976744182,44.13068181818182,37.16557471264372,48.86206896551724,42.89313953488373,44.44252873563219,39.17325581395346,49.46551724137931,39.43744186046517,51.27325581395349,41.5809411764706
38,8,16,15,2,10,4,80,65,,35.9,35.2,34.9,51.920212765957444,51.606021505376305,49.95108695652174,41.738571428571476,49.2,44.07112359550563,40.0,39.08034482758617,51.55882352941177,49.82619047619045,44.204819277108435,39.051463414634135
39,9,23,12,21,19,17,80,65,,35.8,35.1,34.9,52.06521739130435,53.70428571428572,50.348314606741575,50.79579545454539,48.651685393258425,42.40352272727272,44.411764705882355,39.429523809523786,51.83132530120482,52.21682926829268,50.67901234567901,37.74962500000002
40,2,20,10,0,20,22,80,65,,36.1,35.3,34.9,46.672413793103445,36.00488372093023,51.01764705882353,48.12821428571429,50.25581395348837,44.13023529411766,40.0,38.80999999999996,52.05952380952381,52.43337349397587,51.93975903614458,45.82548780487805
41,5,9,1,2,22,12,80,65,,35.7,34.6,34.8,49.45876288659794,42.8742708333333,49.14795918367347,43.89175257731958,40.0,39.197684210526276,40.0,39.1088659793814,50.0,46.39142857142854,49.11702127659574,34.47569892473121
42,11,14,16,16,18,9,80,65,,35.8,34.8,35.1,51.32954545454545,55.385057471264304,49.83522727272727,41.46551724137927,47.43103448275862,40.63232558139532,43.867816091954026,39.09162790697671,51.72093023255814,47.457647058823525,50.60919540229885,40.814302325581416
43,5,20,16,4,2,8,80,65,,35.8,35.4,35.7,51.21910112359551,45.757045454545484,50.66860465116279,47.75482352941175,49.63793103448276,43.8231395348837,40.47701149425287,39.2198837209302,45.94767441860465,27.271176470588237,47.778260869565216,37.370175438596476
44,10,19,5,19,22,10,80,65,,36,34.7,35,51.39080459770115,51.48511627906977,50.68023255813954,47.05905882352942,41.78488372093023,39.510705882352894,44.11176470588235,39.24738095238093,51.67857142857143,53.259879518072275,46.758823529411764,39.13952380952382
45,3,20,17,6,17,20,80,65,,36.1,35.3,35.2,47.00588235294118,38.495238095238115,51.066265060240966,49.22426829268297,48.14705882352941,41.846071428571406,41.0,39.51070588235291,51.69767441860465,52.14470588235293,49.94705882352941,42.75559523809527
46,15,11,8,13,15,9,80,65,,36,34.7,34.9,51.202127659574465,56.44021505376341,49.48924731182796,40.89184782608696,48.38172043010753,44.2670652173913,44.19444444444444,39.35168539325839,50.46111111111111,46.76292134831462,49.494505494505496,40.101777777777784
47,16,15,9,17,13,22,80,65,,35.9,35,35.1,50.67553191489362,55.96865591397847,49.71910112359551,41.823409090909074,47.52247191011236,44.06034090909093,44.82954545454545,39.73160919540229,50.61494252873563,46.88906976744183,50.77058823529412,42.53702380952384
48,24,4,10,5,24,7,80,65,,35.2,34.2,34.6,49.89705882352941,60.23970149253726,42.42553191489362,46.65247311827953,48.083333333333336,41.757191011235946,41.168539325842694,38.80999999999995,50.3359375,51.079206349206345,45.99431818181818,38.429367816091954
49,6,3,17,16,3,16,80,65,,35.3,35.3,35.4,49.83870967741935,46.26891304347823,42.83516483516483,30.96033333333332,48.98850574712644,44.5287209302326,44.77058823529412,39.88678571428569,47.493975903614455,34.36756097560976,50.81481481481482,43.54625000000001
50,1,24,12,3,21,2,80,65,,36.2,35.3,34.9,42.415841584158414,36.315300000000036,48.138888888888886,47.217746478873245,48.11290322580645,41.391739130434765,40.0,39.39505882352938,51.90243902439025,52.81333333333331,42.59375,38.26708860759497
51,6,1,5,14,1,15,80,65,,36.4,35.6,36.1,51.462765957446805,38.81161290322578,43.4,25.047978723404267,41.46739130434783,39.92967032967031,43.45054945054945,39.68205555555553,44.99444444444445,29.709438202247206,48.853932584269664,35.954886363636376
52,22,23,7,7,10,23,80,65,,35.5,34.5,35.4,50.454081632653065,62.30072164948444,48.409574468085104,46.846559139784915,44.92307692307692,41.23088888888888,42.66477272727273,41.657011494252835,50.870588235294115,54.310357142857114,50.475,42.916962025316465
53,13,5,20,7,0,4,80,65,,34.9,35.1,35.1,50.30102040816327,52.783814432989686,44.78865979381443,37.07750000000002,48.56521739130435,44.735494505494515,42.37777777777778,40.064269662921326,40.0,19.435977011494252,47.279761904761905,28.765903614457805
54,12,21,2,17,16,21,80,65,,35.7,34.2,35.3,50.239583333333336,50.30873684210524,50.15934065934066,45.542222222222264,40.35,38.80999999999995,44.48850574712644,39.29709302325578,51.12352941176471,51.034642857142835,50.56875,41.387215189873416
55,18,8,1,19,15,16,80,65,,35.4,33.9,35,49.46078431372549,56.00227722772267,48.305,42.41878787878789,40.0,38.80999999999995,44.59574468085106,39.432473118279546,50.72826086956522,47.41373626373621,50.93452380952381,37.939036144578345
56,15,7,10,12,13,13,80,65,,35.8,34.9,35,51.76136363636363,55.60229885057468,49.54597701149425,43.033255813953524,47.616279069767444,40.14635294117646,44.689655172413794,39.46581395348834,51.02325581395349,48.907058823529376,50.33720930232558,38.65058823529409
57,17,7,2,23,17,14,80,65,,35.5,34.3,35,50.1530612244898,56.145360824742184,47.072916666666664,42.46736842105264,40.0,38.91769230769226,44.81818181818182,40.03022988505746,51.07738095238095,52.385421686746966,49.6219512195122,38.54728395061729
58,4,16,13,19,6,21,80,65,,35.5,35.2,35.6,50.28021978021978,33.7077777777778,50.88636363636363,44.88643678160923,48.09411764705882,40.59095238095239,45.83132530120482,40.013658536585346,50.06707317073171,41.69185185185191,52.47402597402598,46.42736842105266
59,9,14,21,10,4,2,80,65,,36,35,35.1,51.22872340425532,54.953118279569864,49.824175824175825,43.30111111111115,49.81976744186046,45.0245882352941,45.424418604651166,40.104,49.73809523809524,41.27289156626507,41.67283950617284,27.284749999999992
60,6,17,6,21,5,20,80,65,,35.5,34.7,35.5,49.568627450980394,42.354257425742574,49.13131313131313,44.67193877551017,43.55913978494624,39.35402173913041,44.87640449438202,39.408863636363606,50.056179775280896,38.79829545454546,51.101190476190474,40.48108433734942
61,21,2,16,5,13,3,80,65,,35.5,34.9,34.9,50.48351648351648,66.09188888888882,40.89010989010989,49.74111111111109,48.95977011494253,42.805813953488375,40.72352941176471,40.10249999999997,51.04819277108434,51.26121951219509,43.29113924050633,37.47576923076923
62,18,15,2,20,2,3,80,65,,35.3,34.6,35.7,50.81868131868132,58.30566666666657,46.21666666666667,41.75831460674152,40.12068965517241,39.17837209302323,44.517857142857146,39.41867469879515,47.463855421686745,26.032804878048793,44.4625,32.88367088607595
63,22,2,1,20,22,10,80,65,,35,34,34.7,50.37096774193548,61.32353260869559,40.553763440860216,44.91836956521739,40.0,38.80999999999995,45.247126436781606,40.235581395348824,51.75903614457831,55.24292682926823,48.30864197530864,40.72437500000002
64,2,21,23,10,4,5,80,65,,35.4,34.9,35.7,45.74226804123711,33.4104166666667,49.86413043478261,40.85549450549449,48.37640449438202,44.35454545454542,46.443820224719104,41.24301136363637,50.27906976744186,37.470823529411796,48.25925925925926,31.30675000000003
65,14,15,12,16,11,0,80,65,,35.8,35.1,34.8,50.26020408163265,53.54061855670095,49.037234042553195,41.294946236559156,48.96195652173913,42.64340659340659,44.79775280898876,39.67761363636361,51.02298850574713,51.393488372092996,40.0,37.150240963855424
66,16,10,24,15,21,19,80,65,,35.5,34.6,34.4,50.59239130434783,60.73032967032965,49.2752808988764,44.62602272727278,48.410714285714285,45.223090909090914,45.21176470588235,40.987619047619056,51.85625,51.987468354430405,49.77564102564103,37.85532467532471
67,15,14,20,15,7,14,80,65,,35.7,34.7,35.1,51.138888888888886,52.23101123595507,50.061797752808985,43.47034090909088,49.395348837209305,45.832117647058794,45.291666666666664,40.23072289156625,50.396341463414636,47.396913580246895,52.55696202531646,39.03346153846151
68,4,22,12,2,1,12,80,65,,35.9,35.4,35.3,48.564516129032256,36.464673913043505,50.32386363636363,49.987586206896566,48.98275862068966,41.71662790697673,40.0,39.22999999999996,45.51234567901235,32.315250000000006,52.6025641025641,41.349090909090926
69,11,18,21,9,7,10,80,65,,35.7,34.8,35.4,50.589473684210525,54.676914893616974,49.55978260869565,39.734505494505555,50.44252873563219,48.955348837209314,44.50574712643678,41.61232558139535,50.11309523809524,48.31963855421687,52.098765432098766,40.39512499999999
70,23,21,6,3,8,14,80,65,,35.3,33.9,34.7,51.10227272727273,64.08965517241371,49.01162790697674,48.34611764705885,44.0,39.03285714285711,40.0,39.22024096385539,51.44512195121951,52.47432098765431,49.60897435897436,40.15220779220779
71,0,8,23,16,22,2,80,65,,35,34.6,34.9,40.0,34.92561224489798,49.86842105263158,47.26808510638298,48.53260869565217,45.57208791208789,44.044444444444444,40.51831460674156,50.94827586206897,50.05755813953487,40.44047619047619,37.45650602409638
72,10,7,8,18,20,16,80,65,,36.3,34.8,35.4,50.915789473684214,45.95680851063828,49.141304347826086,36.443516483516504,45.75555555555555,39.95415730337077,44.132183908045974,40.00325581395345,51.398809523809526,54.28963855421686,47.09756097560975,38.51592592592593
73,15,12,22,13,18,16,80,65,,35.5,34.7,35.1,49.74747474747475,56.24153061224486,48.59278350515464,40.383541666666694,49.354838709677416,46.50081521739127,44.483695652173914,40.17461538461537,51.0,48.774831460674136,49.05263157894737,37.56063829787235
74,11,12,8,21,3,15,80,65,,35.8,35.6,35.5,50.32142857142857,54.76886597938134,49.15625,38.98178947368422,48.71195652173913,43.701208791208785,45.49431818181818,39.610919540229865,47.77325581395349,34.79547058823531,52.00632911392405,43.63115384615384
75,20,13,19,6,10,12,80,65,,35.5,34.9,34.7,50.348958333333336,58.8761052631578,48.06315789473684,42.37276595744683,48.862637362637365,46.76611111111111,42.06741573033708,40.03829545454544,50.765060240963855,56.34292682926829,49.4875,39.95430379746837
76,5,6,9,4,8,13,80,65,,36.1,34.7,35,50.306451612903224,38.16413043478262,48.888888888888886,36.0420224719101,48.52873563218391,45.2931395348837,40.04705882352941,39.20666666666663,50.94578313253012,50.74402439024386,49.98125,38.836202531645604
77,7,5,6,2,14,3,80,65,,35.7,33.7,34.9,48.94761904761905,45.82307692307689,45.73,34.2158585858586,45.041666666666664,39.11789473684208,40.0,39.16929411764702,51.98780487804878,48.38382716049382,44.35443037974684,34.52038461538461
78,1,16,0,22,22,14,80,65,,35.7,34.4,34.7,42.47,33.20050505050508,49.31443298969072,45.28947916666664,40.0,38.80999999999995,44.36363636363637,39.84999999999998,51.72093023255814,50.06517647058821,48.825301204819276,36.15024390243905
79,14,17,24,1,13,11,80,65,,35.7,34.7,34.9,50.242105263157896,54.88914893617014,49.97872340425532,43.74258064516127,46.916666666666664,43.59567796610167,40.0,39.82569767441858,51.294117647058826,49.28904761904761,50.701219512195124,37.19604938271609
80,19,18,11,22,15,24,80,65,,35.4,34.4,35,50.145833333333336,57.729157894736744,46.82083333333333,39.342016806722626,48.67977528089887,42.78590909090913,44.311764705882354,39.5040476190476,51.31547619047619,50.1802409638554,51.68421052631579,46.0394642857143
81,18,17,18,1,16,5,80,65,,35.9,35,35.6,50.59574468085106,56.558655913978434,49.94021739130435,40.608021978022,46.80769230769231,41.086222222222204,40.0,39.035287356321795,51.23529411764706,51.352380952380905,42.648148148148145,37.93575000000001
82,10,1,19,23,7,9,80,65,,35.8,35.2,35.8,51.45263157894737,46.65723404255319,43.016304347826086,33.622857142857164,49.75555555555555,46.21741573033706,44.258823529411764,40.03619047619046,51.395348837209305,45.69776470588235,49.048780487804876,41.3483950617284
83,10,6,19,15,13,8,80,65,,35.6,34.8,35.1,51.51052631578948,51.85861702127659,47.233695652173914,36.61148351648354,49.5,46.1331395348837,44.9080459770115,40.2267441860465,51.410714285714285,50.944819277108444,51.95061728395062,40.289250000000024
